,LINK,RECEITA,TIPO,PREPARO,RENDIMENTO
234,https://www.tudogostoso.com.br/receita/801-baba-de-camelo.html, Baba de camelo ,,20.0,6
235,https://www.tudogostoso.com.br/receita/803-frango-com-molho-de-iogurte-especial.html, Frango com molho de iogurte especial ,,45.0,6
236,https://www.tudogostoso.com.br/receita/804-doce-de-abacaxi.html, Doce de abacaxi ,,20.0,10
237,https://www.tudogostoso.com.br/receita/805-carne-andina.html, Carne andina ,,45.0,4
238,https://www.tudogostoso.com.br/receita/808-buchada-de-carneiro.html, Buchada de carneiro ,,40.0,2
239,https://www.tudogostoso.com.br/receita/811-bolo-apressado.html, Bolo apressado ,,30.0,15
240,https://www.tudogostoso.com.br/receita/813-vatapa-a-moda-da-dona-tuca.html, Vatapá à moda da dona Tuca ,,60.0,8
241,https://www.tudogostoso.com.br/receita/814-estrogonofe-de-bacalhau.html, Estrogonofe de bacalhau ,,50.0,5
242,https://www.tudogostoso.com.br/receita/815-frango-com-molho-de-azeitonas.html, Frango com molho de azeitonas ,,50.0,6
243,https://www.tudogostoso.com.br/receita/816-bolo-de-chocolate-de-micro-ondas.html, Bolo de chocolate de micro-ondas ,Microondas,15.0,30
244,https://www.tudogostoso.com.br/receita/818-bolo-lima-limao-de-liquidificador.html, Bolo lima-limão de liquidificador ,,15.0,12
245,https://www.tudogostoso.com.br/receita/825-pudim-de-queijo.html, Pudim de queijo ,,45.0,5
246,https://www.tudogostoso.com.br/receita/826-docinho-de-nozes.html, Docinho de nozes ,,20.0,50
247,https://www.tudogostoso.com.br/receita/827-bolo-de-refrigerante-de-laranja.html, Bolo de refrigerante de laranja ,,30.0,5
248,https://www.tudogostoso.com.br/receita/828-rocambole-de-goiaba.html, Rocambole de goiaba ,,35.0,10
249,https://www.tudogostoso.com.br/receita/831-bolo-sem-massa.html, Bolo sem massa ,,35.0,4
250,https://www.tudogostoso.com.br/receita/832-beijos-de-moca.html, Beijos de moça ,,60.0,40
251,https://www.tudogostoso.com.br/receita/837-torta-de-abacaxi-com-coco.html, Torta de abacaxi com coco ,,90.0,12
252,https://www.tudogostoso.com.br/receita/840-bolo-de-nozes-bem-caseiro.html, Bolo de nozes bem caseiro ,,60.0,16
253,https://www.tudogostoso.com.br/receita/841-quindao-facil.html, Quindão fácil ,,45.0,12
254,https://www.tudogostoso.com.br/receita/845-bolacha-de-rapadura.html, Bolacha de rapadura ,,40.0,150
